MSN,YYYYMM,Value,Column_Order,Description,Unit
SOT8BUS,194913,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,195013,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,195113,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,195213,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,195313,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,195413,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,195513,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,195613,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,195713,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,195813,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,195913,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,196013,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,196113,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,196213,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,196313,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,196413,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,196513,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,196613,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,196713,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,196813,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,196913,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197013,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197113,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197213,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197301,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197302,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197303,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197304,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197305,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197306,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197307,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197308,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197309,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197310,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197311,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197312,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197313,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197401,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197402,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197403,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197404,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197405,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197406,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197407,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197408,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197409,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197410,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197411,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197412,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197413,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197501,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197502,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197503,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197504,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197505,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197506,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197507,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197508,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197509,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197510,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197511,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197512,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
SOT8BUS,197513,Not Available,1,Small-Scale Solar Energy Consumption for Heat: Total,Trillion Btu
